filename,N,OR%,benchmark_value,output_value,percent_diff
bonus1000.txt,1000,12.26,384.365,378.6217,-1.4942307442144924
bonus1000rdmRad.txt,1000,6.13,917.61,937.2473,2.1400486045269758
bubbles1.txt,36,11.11,349.135,349.2548,0.03431337448264938
bubbles2.txt,76,9.09,428.279,428.3678,0.020734147600043894
bubbles3.txt,126,7.69,529.955,531.2427,0.24298289477407942
bubbles4.txt,184,6.67,802.974,809.2157,0.7773228024817644
bubbles5.txt,250,5.88,1035.32,1055.4878,1.9479774369277298
bubbles6.txt,324,5.26,1220.07,1301.4589,6.67083855844338
bubbles7.txt,406,4.76,1575.04,1647.8371,4.621920713124746
bubbles8.txt,496,4.35,1881.93,1995.2337,6.020611818718014
bubbles9.txt,594,4.00,2148.4,2331.4308,8.519400484081176
chaoSingleDep.txt,200,2.84,1039.61,1042.8638,0.31298275314783264
concentricCircles1.txt,16,15.00,53.158,53.2013,0.08145528424696587
concentricCircles2.txt,36,7.50,153.132,153.8702,0.482067758535124
concentricCircles3.txt,60,5.00,270.007,271.7441,0.643353690830237
concentricCircles4.txt,104,3.75,451.87,460.0793,1.816739327682737
concentricCircles5.txt,148,3.00,632.977,639.0799,0.9641582553552461
d493_or10.txt,493,10.00,100.721,100.9585,0.23579988284468698
d493_or2.txt,493,2.00,199.015,200.7983,0.8960631108208053
d493_or30.txt,493,30.00,69.7577,69.758,0.0004300600507123201
d493rdmRad.txt,493,13.44,134.226,134.6215,0.29465230283253496
dsj1000_or10.txt,1000,10.00,373.759,376.4451,0.718671657404908
dsj1000_or2.txt,1000,2.00,909.502,922.4404,1.4225807090033888
dsj1000_or30.txt,1000,30.00,199.948,200.0374,0.04471162502249759
dsj1000rdmRad.txt,1000,12.47,624.604,626.148,0.24719662378082474
kroD100_or10.txt,100,10.00,89.6679,89.7807,0.125797526205022
kroD100_or2.txt,100,2.00,159.037,159.6029,0.355829146676559
kroD100_or30.txt,100,30.00,58.5412,58.5758,0.05910367399369592
kroD100rdmRad.txt,100,4.03,141.829,142.199,0.26087753562388827
lin318_or10.txt,318,10.00,1394.63,1404.3428,0.6964427841075975
lin318_or2.txt,318,2.00,2816.58,2833.4102,0.5975402793458691
lin318_or30.txt,318,30.00,765.964,765.9979,0.004425795468181694
lin318rdmRad.txt,318,10.05,2047.11,2052.4863,0.2626287791081148
pcb442_or10.txt,442,10.00,142.573,143.3016,0.5110364515020376
pcb442_or2.txt,442,2.00,319.846,332.7006,4.018996642134028
pcb442_or30.txt,442,30.00,83.5373,83.538,0.0008379490359334285
pcb442rdmRad.txt,442,9.39,219.219,220.2797,0.4838540454978798
rat195_or10.txt,195,10.00,67.9909,68.0803,0.13148818444820956
rat195_or2.txt,195,2.00,157.97,160.4951,1.5984680635563773
rat195_or30.txt,195,30.00,45.7017,45.7022,0.0010940512059623207
rat195rdmRad.txt,195,42.60,68.224,68.2517,0.0406015478423954
rd400_or10.txt,400,10.00,452.826,453.9433,0.24673936567246582
rd400_or2.txt,400,2.00,1018.46,1040.517,2.165720794140174
rd400_or30.txt,400,30.00,224.839,224.9101,0.03162262774696618
rd400rdmRad.txt,400,0.99,1238.28,1279.5152,3.330038440417359
rotatingDiamonds1.txt,20,20.00,32.389,32.4306,0.12843866744881105
rotatingDiamonds2.txt,60,5.00,140.477,140.6363,0.11339934651224169
rotatingDiamonds3.txt,180,3.33,380.882,381.4749,0.1556650091104295
rotatingDiamonds4.txt,320,1.43,770.661,790.6007,2.587350339513744
rotatingDiamonds5.txt,680,1.11,1510.75,1554.0642,2.867066026807879
team1_100.txt,100,9.33,307.337,308.3386,0.32589632878566405
team1_100rdmRad.txt,100,7.69,388.537,399.2718,2.7628771519829534
team2_200.txt,200,20.06,246.683,247.4012,0.2911428837820182
team2_200rdmRad.txt,200,5.19,613.659,618.0012,0.7075916755070891
team3_300.txt,300,7.02,461.889,462.9603,0.23193884244916158
team3_300rdmRad.txt,300,23.70,378.087,379.1374,0.27781965526453556
team4_400.txt,400,5.01,669.91,674.3437,0.6618351718887678
team4_400rdmRad.txt,400,2.05,984.24,1013.1424,2.936519548077699
team5_499.txt,499,2.00,693.798,704.9002,1.6002064001337621
team5_499rdmRad.txt,499,20.14,446.191,446.5254,0.0749454829882307
team6_500.txt,500,27.06,225.216,225.4505,0.10412226484796684
team6_500rdmRad.txt,500,10.02,620.886,623.6781,0.44969607947352735
