instance,lei_hao_mean,lei_hao_sd,lei_hao_runs,source_table
bonus1000.txt,390.40,4.10,20,5
bubbles1.txt,349.14,0.00,20,5
bubbles2.txt,428.28,0.00,20,5
bubbles3.txt,529.96,0.00,20,5
bubbles4.txt,805.37,1.70,20,5
bubbles5.txt,1037.36,1.21,20,5
bubbles6.txt,1227.15,3.83,20,5
bubbles7.txt,1586.78,9.35,20,5
bubbles8.txt,1895.74,7.97,20,5
bubbles9.txt,2168.21,10.63,20,5
chaoSingleDep.txt,1039.61,0.00,20,5
concentricCircles1.txt,53.16,0.00,20,5
concentricCircles2.txt,153.22,0.33,20,5
concentricCircles3.txt,270.04,0.06,20,5
concentricCircles4.txt,453.09,0.91,20,5
concentricCircles5.txt,633.43,0.55,20,5
rotatingDiamonds1.txt,32.39,0.00,20,5
rotatingDiamonds2.txt,140.48,0.00,20,5
rotatingDiamonds3.txt,380.88,0.00,20,5
rotatingDiamonds4.txt,770.67,0.02,20,5
rotatingDiamonds5.txt,1510.77,0.03,20,5
team1_100.txt,307.34,0.00,20,5
team2_200.txt,246.68,0.00,20,5
team3_300.txt,462.16,0.58,20,5
team4_400.txt,675.46,3.04,20,5
team5_499.txt,697.37,1.68,20,5
team6_500.txt,225.22,0.00,20,5
d493_or2.txt,199.67,0.37,20,6
dsj1000_or2.txt,914.21,2.05,20,6
kroD100_or2.txt,159.11,0.14,20,6
lin318_or2.txt,2826.16,5.76,20,6
pcb442_or2.txt,321.05,0.97,20,6
rat195_or2.txt,158.85,0.58,20,6
rd400_or2.txt,1021.19,1.79,20,6
d493_or10.txt,101.12,0.72,20,6
dsj1000_or10.txt,374.52,1.17,20,6
kroD100_or10.txt,89.68,0.06,20,6
lin318_or10.txt,1399.96,5.55,20,6
pcb442_or10.txt,144.30,2.07,20,6
rat195_or10.txt,67.99,0.00,20,6
rd400_or10.txt,453.96,0.99,20,6
d493_or30.txt,69.76,0.00,20,6
dsj1000_or30.txt,199.95,0.00,20,6
kroD100_or30.txt,58.54,0.00,20,6
lin318_or30.txt,765.96,0.00,20,6
pcb442_or30.txt,83.54,0.00,20,6
rat195_or30.txt,45.70,0.00,20,6
rd400_or30.txt,224.84,0.00,20,6
bonus1000rdmRad.txt,921.26,3.14,20,7
d493rdmRad.txt,134.23,0.00,20,7
dsj1000rdmRad.txt,625.00,0.42,20,7
kroD100rdmRad.txt,141.88,0.24,20,7
lin318rdmRad.txt,2047.11,0.00,20,7
pcb442rdmRad.txt,219.58,0.36,20,7
rat195rdmRad.txt,68.22,0.00,20,7
rd400rdmRad.txt,1240.89,1.32,20,7
team1_100rdmRad.txt,388.54,0.00,20,7
team2_200rdmRad.txt,614.28,1.28,20,7
team3_300rdmRad.txt,378.09,0.00,20,7
team4_400rdmRad.txt,986.44,2.23,20,7
team5_499rdmRad.txt,446.19,0.00,20,7
team6_500rdmRad.txt,620.94,0.13,20,7
