"instance","repetitions","pool_size","iterations","generated_best","ma_cetsp","final","lei_hao","prior_base","prior_final","hybrid_gain_vs_prior_percent","gap_to_lei_hao_percent","seed_ms","ma_ms","socp_ms","valid"
"bonus1000.txt","10000","40","200","378.7744938526","378.7744938526","378.7744938526","384.365","379.1333853343","379.1333853343","0.0946610073347982","-1.4544784638039343","46424","50604","293","true"
"bonus1000rdmRad.txt","1000","40","200","936.7854929044","936.7854929044","936.7529993883","917.61","934.5542623974","934.5542623974","-0.2352711960522988","2.0861803367770664","3752","56590","1759","true"
"bubbles1.txt","1000","40","200","349.3945377475","349.1348891714","349.1348891714","349.135","349.32646186","349.32646186","0.054840588823404694","-3.1743766733852127E-05","219","4273","70","true"
"bubbles2.txt","1000","40","200","428.4100708063","428.2792562829","428.2792562823","428.279","428.4917124108","428.4917124108","0.049582319178275214","5.984003419008233E-05","368","4900","65","true"
"bubbles3.txt","1000","40","200","531.0709697227","529.9548510326","529.9548510204","529.955","531.1488000973","531.1327156206","0.2217646485631608","-2.8111745336624978E-05","657","8493","107","true"
"bubbles4.txt","1000","40","200","810.1081464161","810.1081464161","809.917690624","802.974","809.7188177539","809.7188177539","-0.0245607321627585","0.8647466323940677","1128","6675","137","true"
"bubbles5.txt","1000","40","200","1064.7594080666","1064.7594080666","1064.2529020625","1035.32","1056.3768186924","1056.3768186924","-0.745575180251401","2.7945854482189114","1626","8425","141","true"
"bubbles6.txt","1000","40","200","1291.0115352747","1291.0115352747","1290.6107758407","1220.07","1291.5111703549","1291.5111703549","0.06971635514021085","5.781699069782882","2600","11470","198","true"
"bubbles7.txt","1000","40","200","1643.5786155744","1643.5786155744","1642.8885657549","1575.04","1639.2158077385","1639.2158077385","-0.22405579540298365","4.307736041935439","3059","13218","269","true"
"bubbles8.txt","1000","40","200","1989.2970975616","1988.8757897786","1988.841015146","1881.93","1982.4707804726","1982.4707804726","-0.32132804862231035","5.680924112267722","3913","17675","274","true"
"bubbles9.txt","1000","40","200","2327.6126577587","2326.7523913237","2326.7523913237","2148.4","2338.7646282534","2338.7646282534","0.5136146145100056","8.30163802474865","5708","19846","332","true"
